read_index,basename,mean_mapq,median_mapq,n_chromosomes,order,n_bins,read_length_bp,genes,n_genes
9,batch03,24.75,19.0,1,4,3,5261,Myo16;Shcbp1,2
24,batch04,45.166666666666664,60.0,1,6,3,3708,Tnrc6c;Card14;Eif4a3,3
32,batch04,40.333333333333336,60.0,1,3,3,4715,Csmd1,1
293,batch01,60.0,60.0,2,2,2,1870,Mocos,1
311,batch03,50.44444444444444,60.0,1,9,3,4783,Gprc5a;Dusp16;Fam234b;Hebp1;Zxdc,5
355,batch01,52.42857142857143,60.0,1,7,2,4972,Ermard;Fam120b;Gm51425,3
371,batch03,42.22222222222222,60.0,3,9,3,4591,Rictor;Gm11725;Dab2;Fyb,4
468,batch01,53.888888888888886,60.0,1,9,4,6605,Gm10649;Nr3c2,2
475,batch01,60.0,60.0,1,6,2,4157,Hoxa9,1
504,batch04,52.833333333333336,60.0,1,6,3,3925,Epn2;Slc5a10;Crhr1,3
515,batch01,60.0,60.0,2,2,2,2794,Ighd;Tril,2
517,batch04,40.166666666666664,60.0,2,6,3,3263,Gm45745;5830408C22Rik,2
530,batch01,26.285714285714285,35.0,2,7,6,4542,Skint5;Csmd1;Gm7706;2610005L07Rik,4
619,batch02,34.22222222222222,52.0,3,9,5,4560,Trim24;D630045J12Rik,2
622,batch01,50.8,60.0,1,5,3,3236,Zcchc14;Foxc2;1700011L22Rik,3
632,batch04,55.25,60.0,1,4,2,3094,Prkn;Grm4,2
656,batch03,56.0,60.0,1,3,2,4050,Tyw3;Bcar3,2
661,batch03,60.0,60.0,2,2,2,2693,Sema5b;Setd5,2
675,batch01,43.0,53.0,2,6,2,4169,Trip12;Vps53;Fbxo36,3
865,batch04,50.75,60.0,1,4,2,3191,Fndc3b,1
903,batch03,36.5,49.5,2,6,3,2939,Il12b;Gm13166;Gm12153,3
919,batch01,24.0,6.0,2,8,4,4445,Gm21411;Gm16751;Zfp989;Zfp600,4
938,batch01,60.0,60.0,1,2,2,2236,Plbd1;Kcnj8,2
981,batch03,60.0,60.0,1,3,2,3161,Mgam2-ps;Tmem178b,2
1137,batch04,54.708333333333336,60.0,3,24,10,9464,Wnk1;Bmal2;Plxna4;Tead4;D6Wsu163e;Itpr2;Gm10069;Ano2;Sox5;Prkn,10
1184,batch01,33.2,38.0,3,5,4,2770,Cntn4,1
1196,batch03,40.333333333333336,60.0,2,3,3,2980,Farsa;Atg4a;Acsl1,3
1217,batch01,59.0,60.0,1,9,3,5813,Vat1l;Wwox;Crispld2;Cdh13,4
1277,batch01,46.666666666666664,60.0,2,3,3,4678,Aebp2;Gm14221,2
1302,batch04,60.0,60.0,1,6,4,3840,Klhl2;Cdh13,2
1304,batch03,41.0,41.0,1,2,2,2470,Sh3rf1,1
1330,batch04,60.0,60.0,2,5,2,3744,4930562C15Rik;Rock1,2
1348,batch03,55.833333333333336,60.0,1,6,4,4410,Calcr;Ppp1r9a,2
1399,batch04,36.714285714285715,60.0,2,7,3,3774,1700012C14Rik;Copg2,2
1420,batch04,30.0,33.0,1,10,6,6213,Gm21092,1
1447,batch04,59.6,60.0,1,5,2,3154,Aff4;Tefm,2
1476,batch04,53.25,60.0,2,4,2,3315,Rnf167,1
1489,batch04,44.666666666666664,60.0,1,3,3,2906,Zfhx3;Ces1g,2
1513,batch03,42.888888888888886,60.0,3,9,7,4526,Gm35572;Hhip;Ube4b;Nacc1;Ces2c,5
1607,batch04,60.0,60.0,1,3,2,2798,Ppm1e;Gpatch8,2
1645,batch03,41.166666666666664,56.5,1,6,4,4347,A530053G22Rik;Grid2,2
1679,batch01,48.05882352941177,60.0,1,17,2,6544,Zfp612;4930555F03Rik,2
1701,batch04,60.0,60.0,1,2,2,2413,Adamts18,1
1713,batch01,39.666666666666664,60.0,2,12,3,6311,Hnrnpa2b1;Gm10069;Cbx3,3
1772,batch04,14.4,6.0,3,5,4,2851,Gm34096;Cldn34d;B930018H19Rik,3
1805,batch04,53.0,60.0,2,6,2,3520,Gm49620,1
1827,batch04,60.0,60.0,1,2,2,2432,Unc5d;Nrg1,2
1974,batch01,55.42857142857143,60.0,1,7,4,3831,Stox2;Wwox;Galntl6;Pcm1,4
2010,batch04,48.666666666666664,60.0,2,6,2,4166,Sdad1;G3bp2,2
2046,batch01,58.142857142857146,60.0,1,14,2,7271,Gse1;Zcchc14;Irf8;Foxf1;Fendrr;Gm26815,6
2071,batch01,17.5,17.5,2,2,2,2064,Lrrc37a,1
2085,batch03,60.0,60.0,1,3,2,2937,Ndnf,1
2092,batch01,60.0,60.0,2,3,3,3019,Ndnf;Myo9a,2
2131,batch03,43.666666666666664,60.0,1,3,2,2936,Gm54515;Slco1a6,2
2134,batch01,56.75,60.0,1,4,2,3090,Gm35585;Fam241a;Prpf3,3
2144,batch04,52.25,60.0,4,4,4,2975,Lair1,1
2153,batch01,49.4,60.0,2,5,2,3318,Rps27a;Rtn4;Wdr4,3
